Ste zo Slovenska?,Are you from Slovakia?
"Nie, nie som zo Slovenska, ale z Nemecka.","No, I'm not from Slovakia, I'm from Germany."
Bývate v Poľsku?,Do you live in Poland?
"Nie, nebývam v Poľsku, ale v Litve.","No, I don't live in Poland, I live in Lithuania."
Máš dvadsať (20) rokov?,Are you twenty (20) years old?
"Nie, nemám dvadsať rokov. Mám dvadsaťjeden (21) rokov.","No, I'm not twenty years old. I'm twenty-one (21) years old."
