Je jedna (hodina).,1 o clock
Sú dve (hodiny).,2 O Clock
Sú tri ,3 O clock
Sú štyri ,4 O clock
Je päť.,5 O clock
Je štvrť na dve.,one fifteen
Je pol jednej,one thirty
Je pol druhej,two thirty
Je pol tretej,three thirty
Je tri štvrte na dve.,one forty five
