čas,time
deň ,day 
týždeň,week
mesiac,month
rok ,year 
Pondelok,Monday
Utorok,Tuesday
Streda,Wednesday
Štvrtok,Thursday
Piatok,Friday
Sobota ,Saturday 
Nedeľa,Sunday
ráno,in the morning
popoludnie,in the afternoon
večer,in the evening
v noci,at night
skôr,earlier
neskôr,later
v čase,on time
mešká,delayed
