pracovať,to work
navštíviť,to visit
zostať,to stay
potrebovať,to need
jesť,to eat
pýtať sa,to ask
dať,to give
ísť,to go
mať ,to have 
kúpiť,to buy
môcť,(I-you-we-they) can
naučiť sa ,to learn 
vyrobiť ,to make 
vziať,to take
povedať,to say
písať,to write
vidieť,to see
byť,to be
hľadať,to search
telefonovať,to call
piť,to drink
vedieť,to know
chcieť,to want
platiť,to pay
