potraviny,food
reštaurácia,restaurant
kaviareň,café
bar,bar
menu,menu
predjedlo,starter
hlavné jedlo,main course
dezert,dessert
účet,bill
vegetariánske,vegetarian
vegánske,vegan
bezlepkové,gluten-free
ryba,fish 
mäso,meat
šalát,salad
mlieko,milk
syr,cheese
ovocie,fruits
zelenina,vegetables
orechy,nuts
káva,coffee
čaj ,tea 
voda,water
víno,wine
pivo ,beer 
nealkoholické,non-alcoholic
Na zdravie!,Cheers!
