dobré,good
zlé,bad
nove,new
staré,old
mlade,young
veľké,big
male,small
krásne,beautiful
lacné,cheap
drahé,expensive
tmavé,dark
svetlé,bright
spolu,together
oddelené,separate
dôležité,important
unavené,tired
