Lekár - lekarka,doctor
nemocnica,hospital
lekáreň,pharmacy
liek proti bolesti,painkiller
liek,medicine
bolesť,pain
chrbát ,back 
noha,foot
brucho,stomach
noha,leg
hlava,head
ruka,hand
rameno,arm
