dom,house
byt,apartment
hotel,hotel
múzeum,museum
pláž,beach
les,forest
vrch,mountain
park,park
rieka,river
more,sea
jazero,lake
počasie,weather
slnko ,sun 
dážď,rain
sneh,snow
búrka,thunderstorm
